Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Source_File
Raghunath International Ltd.,RAGHUNAT,Realty,Construction - Real Estate,5.1,sectors\realty.csv
UTL Industries Ltd.,UTLINDS,Realty,Construction - Real Estate,4.94,sectors\realty.csv
Abhishek Infraventures Ltd.,ABHIINFRA,Realty,Construction - Real Estate,4.53,sectors\realty.csv
SBL Infratech Ltd.,SBLI,Realty,Construction - Real Estate,4.14,sectors\realty.csv
Decorous Investment & Trading Co Ltd.,DITCO,Realty,Construction - Real Estate,3.74,sectors\realty.csv
Unishire Urban Infra Ltd.,UNISHIRE,Realty,Construction - Real Estate,3.07,sectors\realty.csv
CMM Infraprojects Ltd.,CMMIPL,Realty,Construction - Real Estate,3.06,sectors\realty.csv
Athena Constructions Ltd.,ATHCON,Realty,Construction - Real Estate,3.01,sectors\realty.csv
Patidar Buildcon Ltd.,PATIDAR,Realty,Construction - Real Estate,2.75,sectors\realty.csv
Rajeswari Infrastructure Ltd.,RAJINFRA,Realty,Construction - Real Estate,2.21,sectors\realty.csv
Sikozy Realtors Ltd.,SIKOZY,Realty,Construction - Real Estate,0.81,sectors\realty.csv
Mahindra Lifespace Developers Ltd. - (Rights Entitlements (REs)),MAHLIFE-RE,Realty,Construction - Real Estate,0.0,sectors\realty.csv
Shradha Infraprojects Ltd. - (Rights Entitlements),SHRADHA-RE,Realty,Construction - Real Estate,0.0,sectors\realty.csv
PVV Infra Ltd. -  Rights Entitlements (REs),751084,Realty,Construction - Real Estate,0.0,sectors\realty.csv
PVV Infra Ltd. - (Partly Paid-up),PVVIPP,Realty,Construction - Real Estate,0.0,sectors\realty.csv
Avenue Supermarts Ltd.,DMART,Retailing,Retailing,264427.04,sectors\retailing.csv
Trent Ltd.,TRENT,Retailing,Retailing,159436.24,sectors\retailing.csv
Vishal Mega Mart Ltd.,VMM,Retailing,Retailing,49424.73,sectors\retailing.csv
Metro Brands Ltd.,METROBRAND,Retailing,Footwear,25750.61,sectors\retailing.csv
Aditya Birla Lifestyle Brands Ltd.,ABLBL,Retailing,Retailing,10838.23,sectors\retailing.csv
Relaxo Footwears Ltd.,RELAXO,Retailing,Footwear,9866.68,sectors\retailing.csv
Bata India Ltd.,BATAINDIA,Retailing,Footwear,9709.61,sectors\retailing.csv
Aditya Vision Ltd.,AVL,Retailing,Retailing,8056.92,sectors\retailing.csv
Medplus Health Services Ltd.,MEDPLUS,Retailing,Retailing,8034.17,sectors\retailing.csv
V2 Retail Ltd.,V2RETAIL,Retailing,Retailing,7890.76,sectors\retailing.csv
Ethos Ltd.,ETHOSLTD,Retailing,Retailing,7359.03,sectors\retailing.csv
Electronics Mart India Ltd.,EMIL,Retailing,Retailing,7300.61,sectors\retailing.csv
Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,Retailing,6833.79,sectors\retailing.csv
Redtape Ltd.,REDTAPE,Retailing,Footwear,6755.31,sectors\retailing.csv
Campus Activewear Ltd.,CAMPUS,Retailing,Footwear,6676.05,sectors\retailing.csv
V-Mart Retail Ltd.,VMART,Retailing,Retailing,6426.51,sectors\retailing.csv
Arvind Fashions Ltd.,ARVINDFASN,Retailing,Retailing,5978.92,sectors\retailing.csv
Shoppers Stop Ltd.,SHOPERSTOP,Retailing,Retailing,4657.84,sectors\retailing.csv
VIP Industries Ltd.,VIPIND,Retailing,Retailing,4256.64,sectors\retailing.csv
Shankara Buildpro Ltd.,BUILDPRO,Retailing,Retailing,3026.68,sectors\retailing.csv
Baazar Style Retail Ltd.,STYLEBAAZA,Retailing,Retailing,2787.04,sectors\retailing.csv
PNGS Reva Diamond Jewellery Ltd.,PNGSREVA,Retailing,Retailing,1815.53,sectors\retailing.csv
Go Fashion (India) Ltd.,GOCOLORS,Retailing,Retailing,1721.99,sectors\retailing.csv
Keto Motors Ltd.,KETOMOTORS,Retailing,Retailing,1671.41,sectors\retailing.csv
Sai Silks (Kalamandir) Ltd.,KALAMANDIR,Retailing,Retailing,1335.51,sectors\retailing.csv
